Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987-88,22,Did Not Play (military service—U.S. Navy),,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-89,23,Did Not Play (military service—U.S. Navy),,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-90,24,SAS,NBA,C,*82*,81,36.6,8.4,15.9,0.531,0,0,0,8.4,15.8,0.532,0.531,7.5,10.2,0.732,3.7,8.3,12,2,1.7,3.9,3.1,3.2,24.3
1990-91,25,SAS,NBA,C,*82*,81,37.7,9.2,16.7,0.552,0,0.1,0.143,9.2,16.6,0.554,0.552,7.2,9.5,0.762,4.1,8.9,*13.0*,2.5,1.5,3.9,3.3,3.2,25.6
1991-92,26,SAS,NBA,C,68,68,37.7,8.7,15.8,0.551,0,0.1,0.125,8.7,15.7,0.554,0.552,5.8,8.3,0.701,3.8,8.4,12.2,2.7,2.3,*4.5*,2.7,3.2,23.2
1992-93,27,SAS,NBA,C,82,82,39.2,8.2,16.4,0.501,0,0.2,0.176,8.2,16.2,0.506,0.503,6.8,9.3,0.732,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4
1993-94,28,SAS,NBA,C,80,80,40.5,10.5,20.7,0.507,0.1,0.4,0.345,10.4,20.4,0.51,0.51,8.7,11.6,0.749,3,7.7,10.7,4.8,1.7,3.3,3.2,2.9,*29.8*
1994-95,29,SAS,NBA,C,81,81,38,9.7,18.4,0.53,0.1,0.2,0.3,9.7,18.1,0.533,0.532,8.1,10.5,0.774,2.9,7.9,10.8,2.9,1.7,3.2,2.9,2.8,27.6
1995-96,30,SAS,NBA,C,82,82,36.8,8.7,16.8,0.516,0,0.1,0.333,8.6,16.7,0.517,0.517,7.6,10,0.761,3.9,8.3,12.2,3,1.4,3.3,2.3,3.2,25
1996-97,31,SAS,NBA,C,6,6,24.5,6,12,0.5,0,0,,6,12,0.5,0.5,5.7,8.7,0.654,3.2,5.3,8.5,1.3,1,1,1.3,1.5,17.7
1997-98,32,SAS,NBA,C,73,73,33.7,7.5,14.6,0.511,0,0.1,0.25,7.4,14.5,0.512,0.511,6.6,9,0.735,3.3,7.3,10.6,2.7,0.9,2.6,2.8,2.8,21.6
1998-99,33,SAS,NBA,C,49,49,31.7,5.5,10.8,0.509,0,0,0,5.5,10.7,0.51,0.509,4.9,7.4,0.658,3,7,10,2.1,1.4,2.4,2.2,2.9,15.8
1999-00,34,SAS,NBA,C,80,80,32,6.6,12.9,0.512,0,0,0,6.6,12.9,0.513,0.512,4.6,6.4,0.726,2.4,7.2,9.6,1.8,1.2,2.3,2.1,3.1,17.8
2000-01,35,SAS,NBA,C,80,80,29.6,5,10.3,0.486,0,0,0,5,10.3,0.487,0.486,4.4,5.9,0.747,2.6,6,8.6,1.5,1,2.5,1.5,2.7,14.4
2001-02,36,SAS,NBA,C,78,78,29.5,4.4,8.6,0.507,0,0,,4.4,8.6,0.507,0.507,3.4,5.1,0.681,2.4,5.8,8.3,1.2,1.1,1.8,1.3,2.5,12.2
2002-03,37,SAS,NBA,C,64,64,26.2,3.1,6.6,0.469,0,0,,3.1,6.6,0.469,0.469,2.4,3.3,0.71,2.5,5.4,7.9,1,0.8,1.7,1.3,2,8.5
