Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1960-61,22,LAL,NBA,SG,*79*,,35.4,6.7,16,0.419,4.2,6.3,0.666,,,7.7,4.2,,,2.7,17.6
1961-62,23,LAL,NBA,PG,75,,41.2,10.7,23.9,0.445,9.5,12.3,0.769,,,7.9,5.4,,,2.3,30.8
1962-63,24,LAL,NBA,PG,55,,39.3,10.2,22.1,0.461,6.7,8.7,0.778,,,7,5.6,,,2.7,27.1
1963-64,25,LAL,NBA,PG,72,,40.4,10.3,21.2,0.484,8.1,9.8,0.832,,,6,5.6,,,2.8,28.7
1964-65,26,LAL,NBA,PG,74,,41.4,11.1,22.4,0.497,8.8,10.7,0.821,,,6,4.9,,,3,31
1965-66,27,LAL,NBA,SG,79,,40.7,10.4,21.9,0.473,10.6,12.4,0.86,,,7.1,6.1,,,3.1,31.3
1966-67,28,LAL,NBA,PG,66,,40.5,9.8,21,0.464,9.1,10.4,0.878,,,5.9,6.8,,,2.4,28.7
1967-68,29,LAL,NBA,SG,51,,37.6,9.3,18.2,0.514,7.7,9.5,0.811,,,5.8,6.1,,,3,26.3
1968-69,30,LAL,NBA,SG,61,,39.2,8.9,19,0.471,8,9.8,0.821,,,4.3,6.9,,,2.6,25.9
1969-70,31,LAL,NBA,PG,74,,42,11.2,22.6,0.497,8.7,10.6,0.824,,,4.6,7.5,,,2.2,*31.2*
1970-71,32,LAL,NBA,PG,69,,41.2,9.7,19.6,0.494,7.6,9.1,0.832,,,4.6,9.5,,,2.6,26.9
1971-72,33,LAL,NBA,PG,77,,38.6,9.5,20,0.477,6.7,8.2,0.814,,,4.2,*9.7*,,,2.7,25.8
1972-73,34,LAL,NBA,PG,69,,35.7,9,18.7,0.479,4.9,6.1,0.805,,,4.2,8.8,,,2,22.8
1973-74,35,LAL,NBA,PG,31,,31.2,7.5,16.7,0.447,5.3,6.4,0.833,1,2.8,3.7,6.6,2.6,0.7,2.6,20.3
