Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1950-51,22,BOS,NBA,PG,69,,,5.8,16.5,0.352,4,5.3,0.756,6.9,4.9,2.7,15.6
1951-52,23,BOS,NBA,PG,*66*,,40.6,7.8,21,0.369,6.2,7.7,0.808,6.4,6.7,2.9,21.7
1952-53,24,BOS,NBA,PG,71,,41.5,6.5,18.6,0.352,6.7,8.3,0.816,6.3,*7.7*,3.2,19.8
1953-54,25,BOS,NBA,PG,72,,39.7,6.8,17.5,0.385,5.7,7.3,0.787,5.5,*7.2*,2.8,19.2
1954-55,26,BOS,NBA,PG,71,,38.7,7.4,18.5,0.397,6.5,8,0.807,6,*7.8*,2.3,21.2
1955-56,27,BOS,NBA,PG,72,,38.4,6.1,17,0.36,6.6,7.8,0.844,6.8,*8.9*,2.9,18.8
1956-57,28,BOS,NBA,PG,64,,36.9,7.5,19.8,0.378,5.7,6.9,0.821,4.8,*7.5*,2.1,20.6
1957-58,29,BOS,NBA,PG,65,,34.2,6.8,19.4,0.353,4.3,5,0.85,5,*7.1*,2.1,18
1958-59,30,BOS,NBA,PG,65,,37,7.4,19.4,0.384,5.1,5.9,0.855,5.5,*8.6*,2.1,20
1959-60,31,BOS,NBA,PG,75,,34.5,7.6,19.7,0.384,4.3,5.4,0.792,4.7,*9.5*,1.9,19.4
1960-61,32,BOS,NBA,PG,76,,32.5,6.8,18.2,0.371,4.6,5.9,0.779,4.4,7.7,2.6,18.1
1961-62,33,BOS,NBA,PG,75,,28.2,6.2,15.7,0.391,3.3,4.4,0.754,3.5,7.8,1.8,15.7
1962-63,34,BOS,NBA,PG,76,,26,5.2,13,0.397,2.9,3.9,0.735,2.5,6.8,2.3,13.2
1963-64,35,,Did Not Play (retired),,,,,,,,,,,,,,
1964-65,36,,Did Not Play (retired),,,,,,,,,,,,,,
1965-66,37,,Did Not Play (retired),,,,,,,,,,,,,,
1966-67,38,,Did Not Play (retired),,,,,,,,,,,,,,
1967-68,39,,Did Not Play (retired),,,,,,,,,,,,,,
1968-69,40,,Did Not Play (retired),,,,,,,,,,,,,,
1969-70,41,CIN,NBA,PG,7,,4.9,0.1,0.4,0.333,0.4,0.4,1,0.7,1.4,1.6,0.7
